ID;Ano;Extrato_Ano;Variavel_Ano;Niveis_Ano;Percentual_Ano
411;2013;Area Rural-2;Tipo de Cobertura;Amianto;28.4
412;2013;Area Rural-2;Tipo de Cobertura;Palha;48.6
413;2013;Area Rural-2;Tipo de Cobertura;Madeira;23
414;2013;Area Rural-2;Tipo de Cobertura;Telha de Barro;1.4
415;2013;Area Rural-2;Tipo de Cobertura;Outro;0
416;2014;Area Rural-2;Tipo de Cobertura;Amianto;41.9
417;2014;Area Rural-2;Tipo de Cobertura;Palha;33.7
418;2014;Area Rural-2;Tipo de Cobertura;Madeira;22.1
419;2014;Area Rural-2;Tipo de Cobertura;Telha de Barro;2.3
420;2014;Area Rural-2;Tipo de Cobertura;Outro;0
421;2015;Area Rural-2;Tipo de Cobertura;Amianto;49.4
422;2015;Area Rural-2;Tipo de Cobertura;Palha;31
423;2015;Area Rural-2;Tipo de Cobertura;Madeira;14.9
424;2015;Area Rural-2;Tipo de Cobertura;Telha de Barro;4.6
425;2015;Area Rural-2;Tipo de Cobertura;Outro;0
426;2016;Area Rural-2;Tipo de Cobertura;Amianto;56.4
427;2016;Area Rural-2;Tipo de Cobertura;Palha;19.2
428;2016;Area Rural-2;Tipo de Cobertura;Madeira;17.9
429;2016;Area Rural-2;Tipo de Cobertura;Telha de Barro;6.4
430;2016;Area Rural-2;Tipo de Cobertura;Outro;1.3
431;2017;Area Rural-2;Tipo de Cobertura;Amianto;66.3
432;2017;Area Rural-2;Tipo de Cobertura;Palha;14.1
